タイトル,巻数,著者・編者,出版元,出版年
"群馬県岩宿発見の石器文化 
明治大学文学部研究報告　考古学　第一冊",1,"杉原荘介著　
明治大学 [編]",明治大学文学研究所,1956
"神奈川県夏島における縄文文化初頭の貝塚
明治大学文学部研究報告 考古学　第二冊",2,"杉原荘介、芹沢長介著　
明治大学 [編]",明治大学文学研究所,1957
"長野県上ノ平の尖頭器石器文化
明治大学文学部研究報告 考古学　第三冊",3,"杉原荘介著　
明治大学 [編]",明治大学文学研究所,1973
"千葉県天神前における弥生時代中期の墓址群
明治大学文学部研究報告 考古学　第四冊",4,"杉原荘介、大塚初重著　
明治大学 [編]",明治大学文学研究所,1974
"北海道白滝服部台における細石器文化
明治大学文学部研究報告 考古学　第五冊",5,"杉原荘介、戸沢充則著
明治大学 [編]",明治大学文学研究所,1975
"茨城県馬渡における埴輪製作址
明治大学文学部研究報告 考古学　第六冊",6,"大塚初重、小林三郎著
明治大学 [編]",明治大学文学研究所,1976
"群馬県武井における二つの石器文化
明治大学文学部研究報告 考古学　第七冊",7,"杉原荘介著
明治大学 [編]",明治大学文学研究所,1977
"栃木県出流原における弥生時代の再葬墓群
明治大学文学部研究報告 考古学　第八冊",8,"杉原荘介著
明治大学 [編]",明治大学文学研究所,1981
"佐賀県多久三年山における石器時代の遺跡
明治大学文学部研究報告 考古学　第九冊",9,"杉原荘介、戸沢充則、安蒜政雄著
明治大学 [編]",明治大学文学研究所,1983
日本文化研究所研究報告,1,東北大学日本文化研究所,東北大学文学部日本文化研究所,1965
"肥後に於ける装飾ある古墳及横穴
（京都帝国大学文学部考古学研究報告第1冊）",1,"濱田耕作,梅原末治著
京都帝国大学文学部考古学教室編",臨川書店,1976
"河内國府石器時代遺跡發掘報告 / 濱田耕作
河内國南高安及び喜志石器時代遺跡調査 / 梅原末治,島田貞彦
河内國府肥後轟等にて發掘せる人骨 / 鈴木文太郎著
 (京都帝国大学文学部考古学研究報告第2冊)",2,"濱田耕作,梅原末治,島田貞彦,鈴木文太郎著
京都帝国大学文学部考古学教室編",臨川書店,1976
"九州に於ける装飾ある古墳
 (京都帝国大学文学部考古学研究報告第3冊)",3,"濱田耕作,梅原末治,島田貞彦著
京都帝国大学文学部考古学教室編",臨川書店,1919
"河内國府石器時代遺跡第二回發掘報告 / 濱田耕作,辰馬悦蔵
河内國府石器時代人骨調査 / 長谷部言人著
 (京都帝国大学文学部考古学研究報告第4冊)",4,"濱田耕作,辰馬悦蔵,長谷部言人著
京都帝国大学文学部考古学教室編",臨川書店,1976
"備中津雲貝塚發掘報告 / 清野謙次ほか
肥後轟貝塚發掘報告 / 濱田耕作ほか著
 (京都帝国大学文学部考古学研究報告第5冊)",5,"清野謙次,濱田耕作ほか著
京都帝国大学文学部考古学教室編",臨川書店,1976
"薩摩國出水郡出水町尾崎貝塚調査報告 / 濱田耕作,島田貞彦
出水貝塚の貝殼獸骨及び人骨 / 長谷部言人
薩摩國揖宿郡指宿村土器包含層調査報告 / 濱田耕作著
 (京都帝国大学文学部考古学研究報告第6冊)",6,"濱田耕作,島田貞彦,長谷部言人著
京都帝国大学文学部考古学教室編",京都帝国大学,1921
"攝津高槻在東氏所藏の吉利支丹遺物 / 新村出著
京都及其附近發見の切支丹墓碑 / 新村出,濱田耕作著
切支丹教名合字鞍及南蠻人繪鞍に就いて / 濱田耕作,梅原末治著
 (京都帝国大学文学部考古学研究報告第7冊)",7,"新村出, 濱田耕作,梅原末治著
京都帝国大学文学部考古学教室編",京都帝國大學,1923
"近江國高島郡水尾村の古墳
(京都帝国大学文学部考古学研究報告第8冊)",8,"濱田耕作, 梅原末治著
京都帝国大学文学部考古学教室編",臨川書店,1976
"豊後磨崖石仏の研究
(京都帝国大学文学部考古学研究報告第9冊)",9,"浜田耕作著
京都帝国大学文学部考古学教室編",京都帝国大学,1925
"出雲上代玉作遺物の研究 大正14年-昭和2年
(京都帝国大学文学部考古学研究報告第10冊).",10,"濱田耕作, 島田貞彦, 梅原末治著
京都帝国大学文学部考古学教室編",刀江書院,1927
