棚ID,棚位置,タイトル,巻数,出版元,出版年,欠番
1,1,アフリカ研究,1〜18、20〜38,日本アフリカ学会,1964〜1991,19〜20、後
1,1,月刊アフリカ,Vol9no.11~12、vol10No.1〜4,社団法人アフリカ協会,1969〜1970,前後
1,1,伊那,308〜326、350〜359、363,伊那郷土史學会,1954〜1958,360〜362、前後
1,1,Archaeology ,11~24,慶應義塾高等学校考古学会々報,1951~1957,前後
1,1,あんとろぽす,1〜3,山岡書店,1946〜1948,後
1,1,MTONGWE AND MGONGA,,信州大学(大参義一),1986,
1,1,遺跡,27〜31,遺跡発行会,1985〜1988,前後
1,1,遺跡学研究,1,日本遺跡学会,2004,後
1,1,大塚考古,2〜3、6〜7、8〜9、11〜12,大塚考古学会,1967〜1974,10、前後
1,1,えとのす,1〜4、6〜7、9〜32,新日本教育図書,1974〜1987,5、8、後
1,2,元興寺文化財研究所 研究報告,5冊,元興寺文化財研究所,2001~2005,前後
1,2,元興寺文化財研究,82~83、86,元興寺文化財研究所,2002~2005,84~85、前後
1,2,貝塚,1-107,柏書房,1981,
1,2,貝塚◎,2~80 継続中,物質文化研究会,1969~,
1,2,窯跡研究,１、3,窯跡研究会,2015,前後
1,2,韓式系土器研究,２、６,韓式系土器研究会,1989~1996,3~5、前後
1,2,京都考古,26〜50合冊(1988発行),京都考古刊行会,1982〜1988,
1,2,関西近世考古学研究,１〜４、12、27、30,,,
1,2,エコソフィア,1~14、17~18,明和堂,1998~2006,15~16
1,3,季刊考古学◎,1〜172 継続中,雄山閣,1982〜,72、98、114
1,5,季刊考古学別冊◎,１、３〜19、21、25、33、35、44 ,雄山閣,1989〜2023,2、20、22〜24、26〜32、34、36〜43、最新？
1,6,旧石器研究,17,日本旧石器学会,2021,前、続き
1,6,季刊人類学,1〜20×4,講談社,1970〜1989,1-2、2-2、3-1〜4、4-1〜4、15-4
1,7,旧石器考古学,22〜23、26〜28、30〜65,旧石器文化談話会,1981〜2004,24〜25、29、前後
1,7,考古学会雑誌,第１編第1〜6号、第2編1~12、第3編1~4,考古学会,1896~1900,
2,1,考古,1〜6,考古学会,1900,
2,1,考古界,第3篇第10〜12号、4〜8は1〜12号,考古学会,1904〜1910,6-5、6-11
2,1,考古学,第1〜2巻1〜5・6号(弥生式)、3-1〜7、4-1〜10、5-3〜8、10、6-1〜10、7-1〜10、8-2〜12、10上1〜6、10下-7〜8、10〜13、11上-1〜6、11下-7〜12、12-1,東京考古学会,1930〜1941,9巻その他
2,1,考古学基礎論,1〜3,考古学談話会,1979〜1981,
2,1,考古学論叢,目次集、第四輯(しゅう)〜十一、十四、十五,考古学研究会,1937〜1940,1〜3、12、13
2,1,考古学集刊,1〜4(2〜4は上下),東京考古学会,1948〜1971,
2,1,考古学手帖,ハードカバーで綴じてある,？,1958〜1963,
2,2,考古学研究◎,1〜40の目次、第1〜2輯、第2年-1〜3、私たちの考古学(1〜20)、１〜72号（通刊１〜285号）　継続中,考古学研究会,1927〜,
2,5,文化財科学(旧：考古学と自然科学)◎,1〜76(考古学と自然科学)、77〜89 　継続中,日本文化財科学会,1968〜,
2,5,考古学の広場,1〜3,考古学フォーラム,1983〜1986,
2,5,考古学フォーラム,2、4〜17、19〜24,愛知考古学談話会、考古学フォーラム,1991〜2018,18
2,6,考古学雑誌◎,1巻〜13、15〜33は各1〜12号、14は1〜15号、34は1〜5号と10〜12号、35は1〜3・終号、36は1〜5号、37は1〜4、38は1〜6、39は1〜4、40は1〜4、41は1と3〜4、42巻〜98は各1〜4号、99〜104は1〜2号、105は1号　継続中,日本考古学会,1910〜,34-6〜9、41-2、64-1〜4、93-1
3,2,考古学雑誌総目録,,日本考古学会,1943,
3,3,考古学ジャーナル◎,28〜203、205〜257、別冊(1985)-1〜3、258〜276、278〜304、306〜562、565〜675、677〜684、686〜689、691〜698、700〜703、705〜712、714〜717、719〜726、728〜731、733〜741、743〜745、747〜754、756〜759、761〜767、769〜773、775〜812　継続中,ニュー・サイエンス社,1969〜,277/305/564/676/685/690/699/704/713/718/727/732/742/746/755/760/768/774
3,7,名古屋考古学会会報・古代人,1〜71(21から古代人),名古屋考古学会,(1962？)〜2014,
3,7,きりん◎,荒木実追悼・16〜28　継続中,荒木集成館友の会,2006〜,
3,7,古代アメリカ◎,1〜13、15〜17、21〜24　継続中,古代アメリカ研究会,1998〜,
3,7,季刊文化遺産,2、15,島根県並河萬里写真財団,1996〜2003,
3,7,古代武器研究,1、10〜13,古代武器研究会,2000〜2017,
3,7,古代◎,1〜60、80〜94、96〜149　継続中,早稲田大学考古学会,1954〜,61〜79、95、
3,7,古代研究,1、3~5、16~24、28~30,元興寺仏教民俗資料研究所,1973~1987,2、6~15、25~27、後
4,1,古代学研究◎,1〜100(総目録)、91(1979)〜234　継続中,古代學研究會,1979〜,
4,1,古代學研究所研究紀要,1〜7,古代學協會,1990〜1998,
4,2,古代文化◎,総目録(1〜40、41〜50)、1〜24、26〜53下、54下〜58-1、58-3〜74-3(74-3はリテラボ、74-2は要確認多分リテラボ)　継続中,古代學協會,1957〜,25、54上、58-2
4,7,古文化談叢,8~9、11~14、16~23、25〜54(20は上下、30上中下、50上中下,九州古文化研究会,1981~2005,1~7、10、15、24
4,7,古文化研究,6、8~12、15、20〜23,財団法人 黒川古文化研究所,2006~2016,
5,1,古代を考える,1~20、53,古代を考える會,1975~1991,
5,1,古文化財の科学(復刻版),1~2,古文化財科学研究会,1976~1981,
5,1,自然科学の手法による遺跡・古文化財等の研究,昭和51~53,文部省科学研究費 特定研究「古文化財」総括班,1976~1978,
5,1,自然科学と博物館,38~42,国立科学博物館,1971~1975,
5,1,史蹟名勝天然紀念物,3~5、7~8、11集それぞれ12号ずつ),史蹟名勝天然紀念物保存協會,1928~1936,
5,1,史前学雑誌,1-1~5、2-1~6、3-1~5(2と3一緒)、4-1~4(3と4が一緒)、5-1~5、6-1~6、7-1~6、8-1~6、9-1~6、10-1~6、11-1~6(1~3が第1綱石器、4~6が第2綱骨角器)、12-1、4~6(一緒)、13-1~6(1と2一緒)、14-1~6(2と3一緒、4と5一緒)、15-1,史前學會,1929~1943,
5,2,情報考古学,1-1、2-1、3~5-1~2、6-2、7~18-1~2(14~15は一緒、17~18は一緒)、20-1~2(一緒),日本情報考古学会,1995~2014,
5,2,日本情報考古学会 発表要旨,8~9、11~12,日本情報考古学会,1999~2001,
5,6,信濃史学会誌 信濃総索引,,信濃史学会,1967,
5,6,信濃史学会誌 増補 信濃総索引,,信濃史学会,1976,
5,2,信濃考古,赤ファイル/14、16、24、28、30〜35、37~38、41〜58(49・50と52・53一緒)、緑ファイル/50~100,長野県考古学会,1965~1987,
5,2,信濃,第1次(1932~1938)/1~5巻(1~12号一緒)、6(1~12)~7(1~7)巻一緒、第2次(1942~/17年(1~12)、18・19年(18-1~19-12)、20~22年(20-1~22-3),信濃史学会,1932〜2007,復刻12-4と7、13-1
5,2,信濃,第2次復刻(1949~信濃郷土研究會)/1-5月〜12月、2-1~12月、3-1~12(2と3一緒、号になる)4-1~12(4~6、7~8一緒)、5〜6-1~12(11~12一緒)、7~11-1~12、12-1~4・6・8~12(11と12一緒)、13-2~12、14-1~12、15-1~12(8と9一緒)、16~23-1~12(多分)、,信濃史学会,1932〜2007,
