タイトル,巻数,著者・編者,出版年,出版機関・出版社
石堂野遺跡,,愛知県埋蔵文化財センター,19870331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
土田遺跡,1,愛知県埋蔵文化財センター,19870331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
勝川遺跡,1,愛知県埋蔵文化財センター,19880331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
大渕遺跡　阿弥陀寺遺跡,,愛知県埋蔵文化財センター,19880331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
杉山遺跡,,愛知県埋蔵文化財センター,19880331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
下山古墳,,愛知県埋蔵文化財センター,19890331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
諏訪遺跡・杉山端城跡,,愛知県埋蔵文化財センター,19890331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
加美遺跡,,愛知県埋蔵文化財センター,19890331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
町田遺跡,,愛知県埋蔵文化財センター,19890331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
廻間遺跡,,愛知県埋蔵文化財センター,19900331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
阿弥陀寺遺跡,,愛知県埋蔵文化財センター,19900331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
月縄手遺跡・貴生町遺跡,,愛知県埋蔵文化財センター,19900331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
志貴野遺跡　小島遺跡,,愛知県埋蔵文化財センター,19900331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
岡島遺跡,,愛知県埋蔵文化財センター,19900331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
名古屋城三の丸遺跡,1,愛知県埋蔵文化財センター,19900331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
名古屋城三の丸遺跡,2,愛知県埋蔵文化財センター,19900331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,1,愛知県埋蔵文化財センター,19900331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
大渕遺跡,,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
勝川遺跡,3,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
松崎遺跡,,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
麻生田大橋遺跡,,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
森岡遺跡・淡洲神社北遺跡,,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
土田遺跡,2,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
池下古墳,,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清水遺跡,,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
吉田城遺跡,1,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,2,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日西遺跡,,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
勝川遺跡,4,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,1,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,2(自然科学編),愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,3(木製品・骨角製品・金属製品編),愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,4(石器編),愛知県埋蔵文化財センター,19930331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,5(土器編・総論編),愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,5(図版編・索引編),愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
小田妻古窯跡群,,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
境川遺跡,,愛知県埋蔵文化財センター,19910331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
名古屋城三の丸遺跡,3,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
岩倉城遺跡,,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
上万場遺跡,,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
山中遺跡,1,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
上の平遺跡,,愛知県埋蔵文化財センター,19920331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
東光寺遺跡,,愛知県埋蔵文化財センター,19930331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
岡島遺跡2・不馬入遺跡,,愛知県埋蔵文化財センター,19930330,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
名古屋城三の丸遺跡,4,愛知県埋蔵文化財センター,19930331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
山中遺跡,2,愛知県埋蔵文化財センター,19930331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
伊保遺跡・根川3号墳・坂口遺跡・高樋遺跡,,愛知県埋蔵文化財センター,19930331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
三斗目・三本松遺跡,,愛知県埋蔵文化財センター,19930331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
松河戸遺跡,,愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
室遺跡,,愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,3,愛知県埋蔵文化財センター,19940330,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
跡ノ口遺跡・一色長畑遺跡・舟橋宮裏遺跡,,愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
